Busstop,Total
아양교4,4315
LG물류센터건너,4307
북침산치안센터건너,4304
율하휴먼시아5단지앞,4303
칠곡IC 2,4293
경북대학교서문건너,4290
가창면사무소건너,4288
각산푸르지오건너,4281
서도초등학교서편1,4275
성서보성타운2차앞,4275
세원정공앞,4274
칠곡동화아파트건너,4268
대청초등학교앞,4267
대봉성당,4262
금호천년나무1단지동편,4226
가창농협건너,4220
장성초등학교건너,4218
백자맨션앞,4214
TBC앞,4203
대곡주공1단지앞,4197
동화시설집단지구(종점)2(대구시민안전테마파크),4191
상인자이앞,4189
공항시장앞,4173
대구가톨릭대학교,4166
덕화중학교앞,4166
연호동화훼단지1,4166
SK리더스뷰앞,4155
기업은행죽전동지점건너,4150
만촌우방1차건너,4150
용금공단건너,4140
