정류소명,X좌표,Y좌표,경유노선수,경유노선
진인동(양지마을)건너,12843.0145,3557.7853,3,"401, 팔공2, 팔공3"
진인동(양지마을)앞,12843.1035,3557.8664,3,"401, 팔공2, 팔공3"
이시아폴리스더샵2단지,12838.4953,3555.5458,8,"101, 101-1, 401, 급행1, 급행6, 북구2, 팔공1, 팔공2"
한국감정원앞,12843.806,3552.7083,1,동구4
명산교(명산화성타운건너),12838.2364,3556.6384,2,"101, 101-1"
첨단의료산업진흥재단앞,12844.1433,3552.7065,1,동구4-1
첨단의료산업진흥재단건너,12844.1225,3552.684,1,동구4
한국산업단지공단앞,12843.804083,3552.765178,1,동구4-1
LH5단지아파트후문앞,12842.8981,3552.9993,1,동구4
안심역(1번출구),12844.0139,3552.3444,1,동구4-1
대구경북지방병무청,12844.111361,3552.62403,2,"708, 동구4"
각산푸르지오앞,12842.8366,3552.4508,2,"708, 동구4"
각산푸르지오건너,12842.832,3552.4877,2,"708, 동구4-1"
새론초등학교건너,12842.9873,3553.1209,2,"동구4-1, 동구7"
이노밸리로1,12843.291589,3552.674201,3,"708, 동구4-1, 동구7"
이노밸리로2,12843.310669,3552.664677,3,"708, 동구4, 동구7"
신서롯데캐슬레전드서편앞,12843.4387,3552.2339,4,"동구2, 동구4-1, 동구7, 북구3"
서한이다음1차앞,12842.8846,3552.9979,2,"동구4-1, 동구7"
새론초등학교앞,12842.984,3553.1103,1,동구4
신서롯데캐슬레전드서편건너,12843.4232,3552.2164,4,"동구2, 동구4, 동구7, 북구3"
봉무공원앞,12838.4907,3555.3436,6,"101, 101-1, 401, 북구2, 팔공1, 팔공2"
대구섬유박물관,12838.4562,3555.1439,6,"101, 101-1, 401, 4010, 팔공1, 팔공2"
효자강순항나무,12841.0376,3555.9522,1,팔공1
파계사입구앞,12838.2439,3559.3979,1,팔공3
파계사입구건너,12838.2651,3559.3922,1,팔공3
반월육교,12841.399,3552.3279,4,"518, 618, 651, 719"
성불사앞,12843.6726,3557.6107,2,"401, 팔공1"
성불사건너,12843.6927,3557.6262,2,"401, 팔공1"
